doy,lat,ndvi
0.0,-28.0,4576.579803607316
0.0,-27.0,5215.441653160454
0.0,-26.0,5151.501101154314
0.0,-25.0,5087.583621114948
0.0,-24.0,4831.519329958272
0.0,-23.0,4527.354098360655
0.0,-22.0,4318.909597886704
0.0,-21.0,4831.318017997192
0.0,-20.0,5215.522801708728
0.0,-19.0,5790.952720819208
0.0,-18.0,5983.586475847879
0.0,-17.0,6175.225695649636
0.0,-16.0,6495.0435308089245
0.0,-15.0,7151.47083069446
0.0,-14.0,7439.39233995227
0.0,-13.0,7648.306610740599
0.0,-12.0,7584.106594256148
0.0,-11.0,7520.06823548849
0.0,-10.0,7711.662566721649
0.0,-9.0,7712.002184814092
0.0,-8.0,7775.872761475591
0.0,-7.0,7711.6429767429445
0.0,-6.0,7647.357269283894
0.0,-5.0,7712.100998351455
0.0,-4.0,7648.228682111441
0.0,-3.0,7583.753665990885
0.0,-2.0,7328.153138267212
0.0,-1.0,7327.9543958651175
0.0,0.0,7327.467370741257
0.0,1.0,7327.872742045647
0.0,2.0,7391.402996134359
0.0,3.0,7311.908585232924
0.0,4.0,5967.234682333327
0.0,5.0,5134.879109467606
0.0,6.0,3919.3440485017663
0.0,7.0,3727.2253041803797
0.0,8.0,3727.4840630472854
0.0,9.0,3503.376107644652
0.0,10.0,2991.7292560028473
0.0,11.0,2447.4399083940934
0.0,12.0,2095.181017925176
0.0,13.0,1903.4683979776094
0.0,14.0,1695.7608314773208
0.0,15.0,1327.3129097993335
0.0,16.0,1135.4393631775818
0.0,17.0,1039.7403102484582
0.0,18.0,975.5283461081361
0.0,19.0,943.3975646794901
16.0,-28.0,4894.218492347271
16.0,-27.0,5536.556539462631
16.0,-26.0,5343.185353208036
16.0,-25.0,5279.729254245711
16.0,-24.0,5023.80958338476
16.0,-23.0,4751.242293906809
16.0,-22.0,4575.261270154656
16.0,-21.0,5087.318466219338
16.0,-20.0,5471.034095712204
16.0,-19.0,6111.61092941535
16.0,-18.0,6367.004080144436
16.0,-17.0,6495.661204838698
16.0,-16.0,6751.374298092908
16.0,-15.0,7247.554154743658
16.0,-14.0,7439.3785216276565
16.0,-13.0,7583.965405631722
16.0,-12.0,7519.7631132885535
16.0,-11.0,7519.84146211415
16.0,-10.0,7583.854640645091
16.0,-9.0,7584.325865575699
16.0,-8.0,7711.877458209265
16.0,-7.0,7647.878820410681
16.0,-6.0,7583.596351377478
16.0,-5.0,7647.87291117394
16.0,-4.0,7584.415300361984
16.0,-3.0,7391.810010667
16.0,-2.0,7264.5947230396
16.0,-1.0,7264.407803461724
16.0,0.0,7328.8189064280805
16.0,1.0,7392.719846540952
16.0,2.0,7456.284044729665
16.0,3.0,7408.273147060043
16.0,4.0,5519.206896551724
16.0,5.0,4719.200572916913
16.0,6.0,3727.2143146230496
16.0,7.0,3567.3397386625675
16.0,8.0,3631.672355821668
16.0,9.0,3375.309239500382
16.0,10.0,2831.5102167990367
16.0,11.0,2351.338645254858
16.0,12.0,2031.1672205265406
16.0,13.0,1871.3917368616048
16.0,14.0,1631.4615008559895
16.0,15.0,1327.4762604223215
16.0,16.0,1135.5542546611293
16.0,17.0,1039.5943051825604
16.0,18.0,975.2414817758307
16.0,19.0,943.7930743997044
32.0,-28.0,5343.246938756419
32.0,-27.0,5792.252916650089
32.0,-26.0,5599.930636187441
32.0,-25.0,5471.474605306736
32.0,-24.0,5023.53746599704
32.0,-23.0,4782.904859685148
32.0,-22.0,4638.911184210527
32.0,-21.0,5215.55000623551
32.0,-20.0,5599.964175108773
32.0,-19.0,6240.086932476613
32.0,-18.0,6495.606708972369
32.0,-17.0,6751.675729386558
32.0,-16.0,6944.013506674424
32.0,-15.0,7407.892752434887
32.0,-14.0,7599.855934629943
32.0,-13.0,7775.949653577308
32.0,-12.0,7776.185152064052
32.0,-11.0,7711.892898799088
32.0,-10.0,7711.639841265716
32.0,-9.0,7648.037574754828
32.0,-8.0,7712.082745221534
32.0,-7.0,7647.731091369161
32.0,-6.0,7583.37568642136
32.0,-5.0,7584.277035270924
