date,mean_2m_air_temperature,total_precipitation
1979-01-02,302.6820679,2.43E-04
1979-01-03,297.2901917,0.002972891
1979-01-04,294.5799866,8.07E-07
1979-01-05,295.6186523,0
1979-01-06,299.8927612,0
1979-01-07,300.4694519,5.30E-04
1979-01-08,295.4163513,0.002843207
1979-01-09,297.8863831,8.05E-05
1979-01-10,300.0858765,0
1979-01-11,301.8676453,9.27E-05
1979-01-12,302.2463684,0.00176549
1979-01-13,298.9117126,0.007837492
1979-01-14,299.2516479,0.006121642
1979-01-15,300.5540771,9.03E-04
1979-01-16,300.2250977,9.06E-05
1979-01-17,302.3888855,1.48E-04
1979-01-18,302.4356689,1.04E-04
1979-01-19,301.6390381,0.001725107
1979-01-20,299.2478943,0.007485948
1979-01-21,297.0221252,0.020193659
1979-01-22,293.7658997,4.44E-04
1979-01-23,294.1852417,1.98E-05
1979-01-24,294.027832,2.17E-06
1979-01-25,296.3037415,4.28E-08
1979-01-26,299.2523499,0
1979-01-27,300.8219604,0
1979-01-28,302.1391907,0
1979-01-29,302.7210999,1.66E-05
1979-01-30,299.0815735,0.002877211
1979-01-31,297.5748291,3.24E-04
1979-02-01,297.4902954,0
1979-02-02,298.4021912,0
1979-02-03,297.8913269,0
1979-02-04,299.2080383,4.28E-08
1979-02-05,300.7056274,0
1979-02-06,302.0930481,1.46E-04
1979-02-07,302.2937317,7.72E-04
1979-02-08,302.8874817,2.51E-05
1979-02-09,301.3444214,9.18E-06
1979-02-10,302.2760315,2.95E-05
1979-02-11,301.1559448,0
1979-02-12,301.8843689,0
1979-02-13,301.7256775,4.28E-08
1979-02-14,302.046875,0
1979-02-15,302.1618347,0.001915203
1979-02-16,302.6524658,2.03E-06
1979-02-17,302.8377991,0.001283312
1979-02-18,301.6867676,9.43E-04
1979-02-19,300.0085449,0.008841187
1979-02-20,297.3090515,8.43E-04
1979-02-21,298.3609314,1.56E-04
1979-02-22,299.6688843,1.55E-04
1979-02-23,301.1213684,9.36E-05
1979-02-24,299.3763733,0.003891414
1979-02-25,299.7309875,8.74E-07
1979-02-26,300.3608704,0
1979-02-27,299.2888794,6.13E-04
1979-02-28,296.7558289,0.001625466
1979-03-01,297.012207,0.016807901
1979-03-02,297.6905518,0.004972344
1979-03-03,297.4850769,0.014330437
1979-03-04,293.8751526,0.006955771
1979-03-05,294.1578674,0
1979-03-06,296.37323,1.76E-04
1979-03-07,295.8536682,3.18E-04
1979-03-08,296.5653992,2.13E-05
1979-03-09,295.5382385,3.44E-06
1979-03-10,295.9653015,1.65E-06
1979-03-11,295.7602844,2.16E-05
1979-03-12,296.2328186,0
1979-03-13,295.8284607,4.53E-07
1979-03-14,296.4708557,6.91E-04
1979-03-15,296.4475403,4.28E-08
1979-03-16,297.025238,0
1979-03-17,297.4813843,1.86E-09
1979-03-18,299.648407,8.18E-07
1979-03-19,301.647644,5.34E-05
1979-03-20,301.9440002,3.31E-05
1979-03-21,301.2825317,0
1979-03-22,300.3326111,1.86E-09
1979-03-23,297.1199036,3.87E-04
1979-03-24,297.9110107,1.32E-04
1979-03-25,298.8604736,4.51E-06
1979-03-26,299.5394287,1.90E-05
