ring_number,tag_id,datetime,location_name,latitude,longitude,observation_type,device_status,observer,catching_method,life_stage,sex,condition,mass,wing_length,additional_metric,observation_comments
4A46395,,2015-12-02T14:00:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.72609406,28.77556946,capture,,Dayo Osinubi,B,2,U,alive,64,108,,
4A46395,16KY,2016-12-19T17:58:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.72571672,28.77488414,equipment,present,Dayo Osinubi,M,2,U,alive,64,108,,Deployed Geolocator 16 KY | color_ring: Black-L
4A46395,16KY,2017-12-13T03:55:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7255146,28.7749117,capture,missing,Dayo Osinubi,M,2,U,alive,64,108,,Lost Geolocator 16KY. Deployed Geolocator 20JP. Plastic ring changed from black on left to black over red on left | color_ring: Black/Red-L
4A46395,20JP,2017-12-13T03:55:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7255146,28.7749117,equipment,present,Dayo Osinubi,M,2,U,alive,64,108,,Lost Geolocator 16KY. Deployed Geolocator 20JP. Plastic ring changed from black on left to black over red on left | color_ring: Black/Red-L
4A46395,20JP,2019-01-10T06:13:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7254083,28.7749111,capture,missing,Dayo Osinubi,M,2,M,alive,59.4,108,,Lost Geolocator 20JP. Deployed Geolocator 22NM. Colour ring Black/Red removed- injury on leg (check photo). | 
4A46395,22NM,2019-01-10T06:13:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7254083,28.7749111,equipment,present,Dayo Osinubi,M,2,M,alive,59.4,108,,Lost Geolocator 20JP. Deployed Geolocator 22NM. Colour ring Black/Red removed- injury on leg (check photo). | 
4A46399,16KJ,2016-12-16T15:08:00Z,"Mogalakwena (Weir 1), Limpopo, South Africa",-22.72540994,28.77439598,equipment,present,Dayo Osinubi,B,2,U,alive,88,119,,Deployed Geolocator 16 KJ (possibly close to laying; see photos) | color_ring: Orange-L
E46102,,2015-11-29T05:52:00Z,"Mogalakwena (Weir 2), Limpopo, South Africa",-22.71894596,28.76801066,capture,,Dayo Osinubi,M,2,U,alive,69,112,,
E46102,16LP,2017-01-05T08:28:00Z,"Mogalakwena (Wedding Venue), Limpopo, South Africa",-22.72040289,28.76930617,equipment,present,David Green,N,2,U,alive,68,115,,Deployed Geolocator 16 LP | color_ring: White-R
E46102,16LP,2017-12-20T04:17:00Z,"Mogalakwena (Weir 2), Limpopo, South Africa",-22.6302848,28.7972232,retrieval,present,Dayo Osinubi,M,2,U,alive,65,113,,Retrieved Geolocator 16LP. Deployed Geolocator 20IN. Check photo for brood patch | color_ring: Orange/Red-R
