"series","timestamp","value","label"
"Set","2017-01-10T03:30:00Z",930.029166666667,"1"
"Rise","2017-01-10T17:10:00Z",310.029166666667,"1"
"Set","2017-01-11T03:25:00Z",925.029166666667,"1"
"Rise","2017-01-11T16:50:00Z",290.029166666667,""
"Set","2017-01-12T03:20:00Z",920.029166666667,"1"
"Rise","2017-01-12T17:10:00Z",310.029166666667,"1"
"Set","2017-01-13T03:20:00Z",920.029166666667,"1"
"Rise","2017-01-13T17:05:00Z",305.029166666667,"1"
"Set","2017-01-14T03:40:00Z",940.029166666667,"1"
"Rise","2017-01-14T16:45:00Z",285.029166666667,""
"Set","2017-01-15T03:30:00Z",930.029166666667,"1"
"Rise","2017-01-15T17:10:00Z",310.029166666667,"1"
"Set","2017-01-16T03:15:00Z",915.029166666667,"1"
"Rise","2017-01-16T16:50:00Z",290.029166666667,""
"Set","2017-01-17T03:25:00Z",925.029166666667,"1"
"Rise","2017-01-17T17:05:00Z",305.029166666667,"1"
"Set","2017-01-18T03:25:00Z",925.029166666667,"1"
"Rise","2017-01-18T17:15:00Z",315.029166666667,"1"
"Set","2017-01-19T03:35:00Z",935.029166666667,"1"
"Rise","2017-01-19T17:10:00Z",310.029166666667,"1"
"Set","2017-01-20T03:55:00Z",955.029166666667,"1"
"Rise","2017-01-20T17:10:00Z",310.029166666667,"1"
"Set","2017-01-21T03:35:00Z",935.029166666667,"1"
"Rise","2017-01-21T16:55:00Z",295.029166666667,"1"
"Set","2017-01-22T03:45:00Z",945.029166666667,"1"
"Rise","2017-01-22T17:10:00Z",310.029166666667,"1"
"Set","2017-01-23T03:35:00Z",935.029166666667,"1"
"Rise","2017-01-23T16:55:00Z",295.029166666667,"1"
"Set","2017-01-24T03:40:00Z",940.029166666667,"1"
"Rise","2017-01-24T17:05:00Z",305.029166666667,"1"
"Set","2017-01-25T03:35:00Z",935.029166666667,"1"
"Rise","2017-01-25T17:05:00Z",305.029166666667,"1"
"Set","2017-01-26T03:45:00Z",945.029166666667,"1"
"Rise","2017-01-26T17:15:00Z",315.029166666667,"1"
"Set","2017-01-27T03:50:00Z",950.029166666667,"1"
"Rise","2017-01-27T17:05:00Z",305.029166666667,"1"
"Set","2017-01-28T03:45:00Z",945.029166666667,"1"
"Rise","2017-01-28T17:00:00Z",300.029166666667,"1"
"Set","2017-01-29T03:30:00Z",930.029166666667,"1"
"Rise","2017-01-29T17:05:00Z",305.029166666667,"1"
"Set","2017-01-30T03:45:00Z",945.029166666667,"1"
"Rise","2017-01-30T17:00:00Z",300.029166666667,"1"
"Set","2017-01-31T03:30:00Z",930.029166666667,"1"
"Rise","2017-01-31T17:00:00Z",300.029166666667,"1"
"Set","2017-02-01T03:45:00Z",945.029166666667,"1"
"Rise","2017-02-01T17:10:00Z",310.029166666667,"1"
"Set","2017-02-02T03:35:00Z",935.029166666667,"1"
"Rise","2017-02-02T17:10:00Z",310.029166666667,"1"
"Set","2017-02-03T03:35:00Z",935.029166666667,"1"
"Rise","2017-02-03T17:10:00Z",310.029166666667,"1"
"Set","2017-02-04T03:35:00Z",935.029166666667,"1"
"Rise","2017-02-04T17:00:00Z",300.029166666667,"1"
"Set","2017-02-05T03:35:00Z",935.029166666667,"1"
"Rise","2017-02-05T17:00:00Z",300.029166666667,"1"
"Set","2017-02-06T03:40:00Z",940.029166666667,"1"
"Rise","2017-02-06T17:00:00Z",300.029166666667,"1"
"Set","2017-02-07T03:35:00Z",935.029166666667,"1"
"Rise","2017-02-07T17:05:00Z",305.029166666667,"1"
"Set","2017-02-08T03:45:00Z",945.029166666667,"1"
"Rise","2017-02-08T17:05:00Z",305.029166666667,"1"
"Set","2017-02-09T03:45:00Z",945.029166666667,"1"
"Rise","2017-02-09T16:35:00Z",275.029166666667,""
"Set","2017-02-10T03:55:00Z",955.029166666667,"1"
"Rise","2017-02-10T17:00:00Z",300.029166666667,""
"Set","2017-02-11T04:05:00Z",965.029166666667,"1"
"Rise","2017-02-11T16:55:00Z",295.029166666667,""
"Set","2017-02-12T03:45:00Z",945.029166666667,"1"
"Rise","2017-02-12T17:00:00Z",300.029166666667,""
"Set","2017-02-13T03:55:00Z",955.029166666667,"1"
"Rise","2017-02-13T16:45:00Z",285.029166666667,""
"Set","2017-02-14T03:50:00Z",950.029166666667,"1"
"Rise","2017-02-14T16:45:00Z",285.029166666667,""
"Set","2017-02-15T03:40:00Z",940.029166666667,"1"
"Rise","2017-02-15T16:55:00Z",295.029166666667,""
"Set","2017-02-16T04:05:00Z",965.029166666667,"1"
"Rise","2017-02-16T16:40:00Z",280.029166666667,""
"Set","2017-02-17T04:40:00Z",1000.02916666667,"discard"
"Rise","2017-02-17T16:10:00Z",250.029166666667,"discard"
"Set","2017-02-18T04:10:00Z",970.029166666667,"1"
"Rise","2017-02-18T16:55:00Z",295.029166666667,""
"Set","2017-02-19T03:40:00Z",940.029166666667,"1"
"Rise","2017-02-19T16:55:00Z",295.029166666667,""
"Set","2017-02-20T03:55:00Z",955.029166666667,"1"
"Rise","2017-02-20T16:45:00Z",285.029166666667,""
"Set","2017-02-21T04:05:00Z",965.029166666667,"1"
"Rise","2017-02-21T16:00:00Z",240.029166666667,"discard"
"Set","2017-02-22T04:15:00Z",975.029166666667,""
"Rise","2017-02-22T16:30:00Z",270.029166666667,""
"Set","2017-02-23T03:55:00Z",955.029166666667,"1"
"Rise","2017-02-23T16:45:00Z",285.029166666667,""
"Set","2017-02-24T04:05:00Z",965.029166666667,"1"
"Rise","2017-02-24T16:40:00Z",280.029166666667,""
"Set","2017-02-25T04:00:00Z",960.029166666667,"1"
"Rise","2017-02-25T16:55:00Z",295.029166666667,""
"Set","2017-02-26T03:50:00Z",950.029166666667,"1"
"Rise","2017-02-26T16:30:00Z",270.029166666667,""
"Set","2017-02-27T04:00:00Z",960.029166666667,"1"
"Rise","2017-02-27T16:45:00Z",285.029166666667,""
"Set","2017-02-28T03:55:00Z",955.029166666667,"1"
"Rise","2017-02-28T16:45:00Z",285.029166666667,""
"Set","2017-03-01T03:50:00Z",950.029166666667,"1"
"Rise","2017-03-01T16:40:00Z",280.029166666667,""
"Set","2017-03-02T04:00:00Z",960.029166666667,"1"
"Rise","2017-03-02T16:50:00Z",290.029166666667,""
"Set","2017-03-03T04:00:00Z",960.029166666667,"1"
"Rise","2017-03-03T16:50:00Z",290.029166666667,""
"Set","2017-03-04T03:55:00Z",955.029166666667,"1"
"Rise","2017-03-04T16:35:00Z",275.029166666667,""
"Set","2017-03-05T04:10:00Z",970.029166666667,"1"
"Rise","2017-03-05T16:25:00Z",265.029166666667,""
"Set","2017-03-06T04:00:00Z",960.029166666667,"1"
"Rise","2017-03-06T16:30:00Z",270.029166666667,""
"Set","2017-03-07T04:15:00Z",975.029166666667,"1"
"Rise","2017-03-07T16:30:00Z",270.029166666667,""
"Set","2017-03-08T04:10:00Z",970.029166666667,"1"
"Rise","2017-03-08T16:30:00Z",270.029166666667,""
"Set","2017-03-09T04:00:00Z",960.029166666667,"1"
"Rise","2017-03-09T16:30:00Z",270.029166666667,""
"Set","2017-03-10T04:10:00Z",970.029166666667,"1"
"Rise","2017-03-10T16:20:00Z",260.029166666667,"1"
"Set","2017-03-11T04:05:00Z",965.029166666667,"1"
"Rise","2017-03-11T16:45:00Z",285.029166666667,"1"
"Set","2017-03-12T04:05:00Z",965.029166666667,"1"
"Rise","2017-03-12T16:40:00Z",280.029166666667,"1"
"Set","2017-03-13T04:00:00Z",960.029166666667,"1"
"Rise","2017-03-13T16:25:00Z",265.029166666667,"1"
