"series","timestamp","value","label"
"Set","2017-12-19T02:55:00Z",895.026388888889,"1"
"Rise","2017-12-19T17:05:00Z",305.026388888889,"1"
"Set","2017-12-20T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-20T16:55:00Z",295.026388888889,"1"
"Set","2017-12-21T03:35:00Z",935.026388888889,"discard"
"Rise","2017-12-21T17:10:00Z",310.026388888889,"1"
"Set","2017-12-22T02:55:00Z",895.026388888889,"1"
"Rise","2017-12-22T17:00:00Z",300.026388888889,"1"
"Set","2017-12-23T03:00:00Z",900.026388888889,"1"
"Rise","2017-12-23T17:05:00Z",305.026388888889,"1"
"Set","2017-12-24T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-24T17:15:00Z",315.026388888889,"1"
"Set","2017-12-25T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-25T17:20:00Z",320.026388888889,"1"
"Set","2017-12-26T02:55:00Z",895.026388888889,"1"
"Rise","2017-12-26T16:55:00Z",295.026388888889,"1"
"Set","2017-12-27T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-27T17:20:00Z",320.026388888889,"1"
"Set","2017-12-28T02:55:00Z",895.026388888889,"1"
"Rise","2017-12-28T17:20:00Z",320.026388888889,"1"
"Set","2017-12-29T03:00:00Z",900.026388888889,"1"
"Rise","2017-12-29T17:10:00Z",310.026388888889,"1"
"Set","2017-12-30T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-30T17:20:00Z",320.026388888889,"1"
"Set","2017-12-31T03:05:00Z",905.026388888889,"1"
"Rise","2017-12-31T17:15:00Z",315.026388888889,"1"
"Set","2018-01-01T03:00:00Z",900.026388888889,"1"
"Rise","2018-01-01T17:15:00Z",315.026388888889,"1"
"Set","2018-01-02T03:10:00Z",910.026388888889,"1"
"Rise","2018-01-02T17:15:00Z",315.026388888889,"1"
"Set","2018-01-03T03:10:00Z",910.026388888889,"1"
"Rise","2018-01-03T17:10:00Z",310.026388888889,"1"
"Set","2018-01-04T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-04T17:10:00Z",310.026388888889,"1"
"Set","2018-01-05T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-05T17:15:00Z",315.026388888889,"1"
"Set","2018-01-06T03:20:00Z",920.026388888889,"1"
"Rise","2018-01-06T16:00:00Z",240.026388888889,"discard"
"Set","2018-01-07T04:00:00Z",960.026388888889,"1"
"Rise","2018-01-07T17:00:00Z",300.026388888889,"1"
"Set","2018-01-08T04:05:00Z",965.026388888889,"1"
"Rise","2018-01-08T17:10:00Z",310.026388888889,"1"
"Set","2018-01-09T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-09T17:15:00Z",315.026388888889,"1"
"Set","2018-01-10T03:40:00Z",940.026388888889,"1"
"Rise","2018-01-10T16:40:00Z",280.026388888889,"discard"
"Set","2018-01-11T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-11T16:30:00Z",270.026388888889,"discard"
"Set","2018-01-12T04:05:00Z",965.026388888889,"1"
"Rise","2018-01-12T17:15:00Z",315.026388888889,"1"
"Set","2018-01-13T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-13T17:10:00Z",310.026388888889,"1"
"Set","2018-01-14T03:35:00Z",935.026388888889,"1"
"Rise","2018-01-14T17:00:00Z",300.026388888889,"1"
"Set","2018-01-15T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-15T17:10:00Z",310.026388888889,"1"
"Set","2018-01-16T03:35:00Z",935.026388888889,"1"
"Rise","2018-01-16T17:10:00Z",310.026388888889,"1"
"Set","2018-01-17T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-17T17:05:00Z",305.026388888889,"1"
"Set","2018-01-18T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-18T17:20:00Z",320.026388888889,"1"
"Set","2018-01-19T03:55:00Z",955.026388888889,"1"
"Rise","2018-01-19T17:10:00Z",310.026388888889,"1"
"Set","2018-01-20T03:50:00Z",950.026388888889,"1"
"Rise","2018-01-20T17:05:00Z",305.026388888889,"1"
"Set","2018-01-21T03:30:00Z",930.026388888889,"1"
"Rise","2018-01-21T16:55:00Z",295.026388888889,"1"
"Set","2018-01-22T03:40:00Z",940.026388888889,"1"
"Rise","2018-01-22T17:00:00Z",300.026388888889,"1"
"Set","2018-01-23T03:35:00Z",935.026388888889,"1"
"Rise","2018-01-23T17:15:00Z",315.026388888889,"1"
"Set","2018-01-24T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-24T17:20:00Z",320.026388888889,"1"
"Set","2018-01-25T03:35:00Z",935.026388888889,"1"
"Rise","2018-01-25T16:50:00Z",290.026388888889,"1"
"Set","2018-01-26T03:45:00Z",945.026388888889,"1"
"Rise","2018-01-26T17:15:00Z",315.026388888889,"1"
"Set","2018-01-27T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-27T16:55:00Z",295.026388888889,"1"
"Set","2018-01-28T03:35:00Z",935.026388888889,"1"
"Rise","2018-01-28T16:10:00Z",250.026388888889,"discard"
"Set","2018-01-29T04:05:00Z",965.026388888889,"1"
"Rise","2018-01-29T16:50:00Z",290.026388888889,"1"
"Set","2018-01-30T04:15:00Z",975.026388888889,"1"
"Rise","2018-01-30T17:00:00Z",300.026388888889,"1"
"Set","2018-01-31T03:25:00Z",925.026388888889,"1"
"Rise","2018-01-31T17:05:00Z",305.026388888889,"1"
"Set","2018-02-01T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-01T17:05:00Z",305.026388888889,"1"
"Set","2018-02-02T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-02T16:35:00Z",275.026388888889,"1"
"Set","2018-02-03T03:35:00Z",935.026388888889,"1"
"Rise","2018-02-03T16:55:00Z",295.026388888889,"1"
"Set","2018-02-04T03:50:00Z",950.026388888889,"1"
"Rise","2018-02-04T16:55:00Z",295.026388888889,"1"
"Set","2018-02-05T03:50:00Z",950.026388888889,"1"
"Rise","2018-02-05T16:55:00Z",295.026388888889,"1"
"Set","2018-02-06T03:45:00Z",945.026388888889,"1"
"Rise","2018-02-06T17:00:00Z",300.026388888889,"1"
"Set","2018-02-07T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-07T16:50:00Z",290.026388888889,"1"
"Set","2018-02-08T04:00:00Z",960.026388888889,"1"
"Rise","2018-02-08T16:50:00Z",290.026388888889,"1"
"Set","2018-02-09T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-09T16:55:00Z",295.026388888889,"1"
"Set","2018-02-10T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-10T16:55:00Z",295.026388888889,"1"
"Set","2018-02-11T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-11T16:50:00Z",290.026388888889,"1"
"Set","2018-02-12T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-12T16:55:00Z",295.026388888889,"1"
"Set","2018-02-13T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-13T17:00:00Z",300.026388888889,"1"
"Set","2018-02-14T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-14T16:35:00Z",275.026388888889,"1"
"Set","2018-02-15T04:20:00Z",980.026388888889,"1"
"Rise","2018-02-15T16:25:00Z",265.026388888889,"1"
"Set","2018-02-16T03:35:00Z",935.026388888889,"discard"
"Rise","2018-02-16T16:50:00Z",290.026388888889,"1"
"Set","2018-02-17T04:15:00Z",975.026388888889,"1"
"Rise","2018-02-17T17:00:00Z",300.026388888889,"1"
"Set","2018-02-18T04:15:00Z",975.026388888889,"1"
"Rise","2018-02-18T16:45:00Z",285.026388888889,"1"
"Set","2018-02-19T04:15:00Z",975.026388888889,"1"
"Rise","2018-02-19T16:55:00Z",295.026388888889,"1"
"Set","2018-02-20T04:10:00Z",970.026388888889,"1"
"Rise","2018-02-20T16:40:00Z",280.026388888889,"1"
"Set","2018-02-21T04:15:00Z",975.026388888889,"1"
"Rise","2018-02-21T16:05:00Z",245.026388888889,"discard"
"Set","2018-02-22T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-22T17:00:00Z",300.026388888889,"1"
"Set","2018-02-23T03:55:00Z",955.026388888889,"1"
"Rise","2018-02-23T16:45:00Z",285.026388888889,"1"
"Set","2018-02-24T04:10:00Z",970.026388888889,"1"
"Rise","2018-02-24T16:30:00Z",270.026388888889,"1"
"Set","2018-02-25T04:05:00Z",965.026388888889,"1"
"Rise","2018-02-25T16:45:00Z",285.026388888889,"1"
"Set","2018-02-26T04:20:00Z",980.026388888889,"1"
"Rise","2018-02-26T16:50:00Z",290.026388888889,"1"
"Set","2018-02-27T04:00:00Z",960.026388888889,"1"
"Rise","2018-02-27T16:30:00Z",270.026388888889,"1"
"Set","2018-02-28T04:10:00Z",970.026388888889,"1"
